name;ring;quadrant;isNew;description;suggested by
Hacking the High-Pressure;Hold it;Security;FALSE; ;
Purrfect pentesting;Hold it;Security;FALSE; ;
Bring a crew to do your job;Hold it;DevOps;FALSE; ;
Decoding the Cosmos;Hold it;Data;FALSE; ;
Beyond Containers;Hold it;Cloud; FALSE; ;
From Bottleneck to Enabler;Hold it;Cloud;FALSE; ;
Neurodiversity;Hold it;DevOps;FALSE; ;
AiTM;Hold it;Security; FALSE; ;
AI Coding Agents;Hold it;Data; FALSE; ;
Quantum computing;Hold it;Data; FALSE; ;
Rapid prototyping;Hold it;Cloud; FALSE; ;
Non-prod considered harmful;Hold it;Cloud; FALSE; ;
Moving Fast and Staying Aligned;Hold it;DevOps; FALSE; ;
Getting Unstuck;Hold it;DevOps; FALSE; ;
Rethinking (AI) databases;Hold it;Data;FALSE;;
Heat your cold;Hold it;Data;FALSE;;
Vulnerability management;Hold it;Security;FALSE;;
